id;data_acao;usuario_criacao_acao;pendente;data_execucao_acao;ativa;observacoes
1;2022-03-03T09:18:10;Architect COM;false;2022-03-03;false;Bedfordshire
2;2022-03-03T15:18:52;Steel;false;2022-03-03;true;pixel Future-proofed array
3;2022-03-03T05:20:30;Wooden;true;2022-03-03;true;Neck SQL intuitive
4;2022-03-03T03:30:12;Romania parse;false;2022-03-03;true;auxiliary empower Directives
5;2022-03-02T20:35:27;Rustic;false;2022-03-03;false;Louisiana Planner Awesome
6;2022-03-03T15:30:05;purple;true;2022-03-03;true;Personal mobile Tools
7;2022-03-03T10:53:30;Berkshire;true;2022-03-03;false;system
8;2022-03-03T11:53:52;turquoise;false;2022-03-03;false;Account sensor
9;2022-03-03T07:14:02;Human recontextualize Checking;true;2022-03-03;false;protocol Automotive Cambridgeshire
10;2022-03-03T07:32:28;California;false;2022-03-03;false;River JSON
