id;descricao;imagem;imagem_content_type;quantidade;categoria_item;unidade_medida
1;Supervisor Berkshire;../fake-data/blob/hipster.png;image/png;24124;FERRAMENTAS;UNIDADE
2;Up-sized cyan;../fake-data/blob/hipster.png;image/png;55212;INFANTIL;PECA
3;Bedfordshire Tuna;../fake-data/blob/hipster.png;image/png;63865;ELETRODOMESTICO;CAIXA
4;killer drive haptic;../fake-data/blob/hipster.png;image/png;77408;INFANTIL;CARTELA
5;systemic portal;../fake-data/blob/hipster.png;image/png;17687;VESTUARIO;CENTO
6;UAE Delaware;../fake-data/blob/hipster.png;image/png;10279;ALIMENTO;CARTELA
7;innovate purple;../fake-data/blob/hipster.png;image/png;75860;ALIMENTO;QUILOGRAMA
8;Pizza District intermediate;../fake-data/blob/hipster.png;image/png;27787;ALIMENTO;EMBALAGEM
9;virtual Agent;../fake-data/blob/hipster.png;image/png;45483;VESTUARIO;METRO_CUBICO
10;Directives array;../fake-data/blob/hipster.png;image/png;65443;FERRAMENTAS;UNIDADE
