id;solicitante;anonima;data_solicitacao;endereco_entrega;local_de_entrega;data_aprovacao;aprovado;ativa
1;programming;true;2022-03-02T18:53:31;Producer;copying Rubber;2022-03-03;false;true
2;deploy Slovenia;true;2022-03-03T03:00:18;Concrete Nevada Operations;mindshare District Cambridgeshire;2022-03-02;false;false
3;Iowa auxiliary;true;2022-03-03T00:10:31;Alabama;magnetic;2022-03-03;true;false
4;networks;true;2022-03-02T20:33:57;Intranet Pants auxiliary;Adaptive capability;2022-03-02;true;true
5;blue;true;2022-03-02T19:04:41;orchid;Morocco;2022-03-03;true;false
6;GB intangible;true;2022-03-03T02:35:09;Berkshire Future;Response;2022-03-03;true;true
7;Alabama;true;2022-03-02T19:00:21;Cotton Indiana generation;wireless;2022-03-03;true;false
8;Legacy Berkshire Vision-oriented;true;2022-03-03T04:35:58;networks Fantastic cross-platform;collaborative;2022-03-02;true;false
9;open-source;true;2022-03-03T06:23:52;alliance matrix;multimedia Buckinghamshire Progressive;2022-03-02;false;true
10;Functionality;true;2022-03-03T06:30:44;RSS connect;dynamic invoice Intelligent;2022-03-02;false;false
